qid,n_statements,n_sitelinks
Q108943123,2,1
Q108946525,12,0
Q10895386,1,1
Q10896768,4,1
Q10897050,19,3
Q10897066,24,3
Q10897081,25,2
Q10897124,16,3
Q10897146,28,2
Q10897147,21,1
Q10897158,20,3
Q10897228,12,3
Q10897232,11,4
Q10897285,27,1
Q10897306,23,3
Q10897332,23,3
Q10897404,21,3
Q10897488,25,2
Q10897563,32,2
Q10897594,10,2
Q10897631,29,2
Q10897709,9,3
Q10897723,11,5
Q10897764,20,2
Q10897871,12,3
Q10897893,23,1
Q10897929,31,2
Q10897963,12,4
Q10897980,34,3
Q10898006,26,3
Q10898024,17,3
Q10899474,15,0
Q10899523,25,3
Q10899678,11,2
Q10899689,17,3
Q10899710,28,3
Q10899787,8,1
Q10899802,29,1
Q10899859,9,1
Q10899942,32,2
Q10899958,9,3
Q10899975,9,1
Q10900007,8,3
Q10900122,25,2
Q10900166,33,3
Q10900251,10,4
Q10900258,29,7
Q10900296,31,2
Q10900312,9,3
Q10900340,14,3
Q10900365,17,0
Q10900390,30,2
Q10900403,16,4
Q10900517,16,2
Q10904413,3,2
Q109044738,5,1
Q109044814,3,2
Q109045820,1,1
Q109046277,1,1
Q10904676,3,2
Q10906102,12,3
Q1091308,20,17
Q1091393,8,15
Q1091616,4,6
Q1091622,3,1
Q10916508,3,3
Q109176039,3,0
Q10920491,3,1
Q109236480,5,3
Q10924356,13,8
Q10925005,3,2
Q1092508,9,6
Q1092513,9,12
Q10925164,5,3
Q10925518,1,2
Q1092708,17,19
Q109283646,2,3
Q10928456,4,2
Q109313445,1,1
Q109314725,1,1
Q10932738,9,2
Q10934127,2,2
Q10934709,4,2
Q109357446,9,3
Q109367279,2,1
Q109368726,1,1
Q10938546,2,2
Q10938820,1,1
Q10939046,7,5
Q1093934,20,19
Q10939616,8,2
Q10939684,3,2
Q10939697,4,3
Q10939945,4,2
Q10940503,3,4
Q10940542,3,2
Q10940642,11,4
Q10940723,7,2
Q10940767,9,4
Q109412019,1,2
Q109418279,3,1
Q109425684,5,1
Q10943037,3,2
Q10943654,5,2
Q109439501,6,1
Q10944346,8,1
Q10945614,5,2
Q1094710,16,13
Q10947525,11,2
Q109487155,3,1
Q10949164,10,4
Q109495872,24,1
Q10952645,14,3
Q109536805,2,1
Q10953823,15,4
Q10955413,12,3
Q10956368,6,3
Q1095651,7,1
Q109570415,6,0
Q10957230,7,3
Q1095889,20,4
Q109594,208,60
Q109598,197,71
Q1096207,11,6
Q10963713,26,8
Q109649120,5,1
Q109652910,3,1
Q10966064,18,3
Q10966726,20,16
Q10967420,11,2
Q109681815,1,1
Q10968973,16,5
Q1097185,7,5
Q109769720,4,1
Q1098011,4,9
Q109802111,7,0
Q10985352,15,7
Q10985428,9,3
Q109855219,6,0
Q10989826,15,2
Q109905616,8,3
Q10996733,16,2
Q109998607,9,0
Q1100202,8,4
Q110057727,18,0
Q110072560,16,0
Q110072585,12,0
Q11012438,16,7
Q110149956,7,3
Q11015700,19,9
Q110161604,5,3
Q11020493,17,3
Q1102155,76,21
Q11023957,29,7
Q11024210,12,2
Q11024414,21,5
Q11024933,20,4
Q1102563,11,5
Q11027081,2,1
Q110271721,6,1
Q110276324,10,0
Q110276336,8,0
Q110289446,3,1
Q110289833,7,1
Q11034410,22,4
Q11036174,2,2
Q11037393,23,4
Q11038150,12,2
Q110384638,5,1
Q110391107,6,0
Q11040568,6,1
Q11043429,5,4
Q110443441,8,1
Q110443498,8,1
Q11046196,22,9
Q110473993,6,0
Q11048128,19,4
Q11049866,9,3
Q11050021,32,5
Q1105309,5,4
Q11053466,2,2
Q11053896,3,1
Q11058176,24,3
Q11059808,9,3
Q11060260,3,2
Q110607084,13,3
Q1106075,12,7
Q11063079,18,3
Q11064040,12,4
Q11064159,9,3
Q110643906,2,4
Q11064482,1,1
Q11065010,10,4
Q11065067,3,2
Q110652237,2,2
Q110659,26,9
Q11067147,11,3
Q11067319,11,5
Q11067454,3,1
Q11067513,14,3
Q110677252,11,0
Q1106807,12,8
Q110682329,1,1
Q110692728,2,1
Q11069764,10,5
Q11073190,9,6
Q11073495,3,7
Q11073513,15,2
Q11073596,4,2
Q11074055,16,2
Q11074061,13,3
Q11074449,5,3
Q11075222,3,1
Q11077662,1,1
Q11078118,8,1
Q11078471,7,10
Q1107984,3,2
Q11080510,11,13
Q1108130,9,11
Q11084432,16,3
Q11084914,4,3
Q11085087,4,7
Q1108819,2,1
Q11089855,17,2
Q110930029,8,0
Q110930243,12,1
Q110953037,7,2
Q110953170,5,1
Q11096099,12,4
Q110964745,11,2
Q11099145,11,2
Q11099331,13,3
Q11099417,1,1
